Lote;Producto;Emision;Tren_ID;Producto_ID
56116;Polirreumin CR;23/6/2025 07:40:34;6;61
56117;Ultraflex Lata x 300g;24/6/2025 13:52:54;0;75
56118;Polirreumin CR;23/6/2025 07:40:41;6;61
56119;Ultraflex Lata x 300g;24/6/2025 13:53:05;0;75
56120;Polirreumin CR;23/6/2025 07:41:03;6;61
56121;Ultraflex Lata x 300g;24/6/2025 13:53:15;0;75
56122;Polirreumin CR;23/6/2025 07:41:10;6;61
56123;Ultraflex Lata x 300g;24/6/2025 13:53:25;0;75
56124;Polirreumin CR;23/6/2025 07:41:35;6;61
56125;Ultraflex Lata x 300g;24/6/2025 13:53:35;0;75
56126;Ultraflex Lata x 300g;24/6/2025 13:53:55;0;75
56127;Ultraflex Lata x 300g;24/6/2025 10:13:22;0;75
56128;Ultraflex Magnesio Lata x 420 g;24/6/2025 13:56:20;0;74
56129;Ultraflex Lata x 300g;24/6/2025 10:13:31;0;75
56130;Ultraflex Magnesio Lata x 420 g;24/6/2025 13:56:32;0;74
56131;Ultraflex Lata x 300g;24/6/2025 10:13:39;0;75
56132;Ultraflex Magnesio Lata x 420 g;24/6/2025 13:56:43;0;74
56133;Ultraflex Magnesio Lata x 420 g;24/6/2025 13:56:53;0;74
56134;Ultraflex Magnesio Lata x 420 g;24/6/2025 13:57:06;0;74
56135;Ultraflex Magnesio Lata x 420 g;24/6/2025 13:57:25;0;74
56136;Ultraflex Magnesio Lata x 420 g;24/6/2025 13:57:39;0;74
56137;Artrodar CHINA CÁP.;2/6/2025 06:20:44;3;2
56138;Artrodar CHINA CÁP.;2/6/2025 06:20:55;3;2
56139;Artrodar CHINA CÁP.;2/6/2025 06:21:08;3;2
56140;Artrodar CHINA CÁP.;2/6/2025 06:21:19;3;2
56141;Artrodar CHINA CÁP.;2/6/2025 06:21:29;3;2
56142;Artrodar CHINA CÁP.;2/6/2025 06:21:39;3;2
56143;Artrodar CHINA CÁP.;2/6/2025 06:21:49;3;2
56144;Artrodar CHINA CÁP.;2/6/2025 06:22:16;3;2
56145;Ibuprofeno TRB Pharma 600mg COMP.;10/12/2025 07:32;2;45
56146;Ibuprofeno TRB Pharma 600mg COMP.;10/12/2025 07:32;2;45
56147;Ibuprofeno TRB Pharma 600mg COMP.;10/12/2025 07:32;2;45
56148;Ibuprofeno TRB Pharma 600mg COMP.;10/12/2025 07:32;2;45
56149;Ibuprofeno TRB Pharma 600mg COMP.;10/12/2025 07:32;2;45
56150;Ibuprofeno TRB Pharma 600mg COMP.;10/12/2025 07:32;2;45
56151;Ibuprofeno TRB Pharma 600mg COMP.;10/12/2025 07:32;2;45
56152;Ibuprofeno TRB Pharma 600mg COMP.;10/12/2025 07:32;2;45
56153;Ibuprofeno TRB Pharma 400mg COMP.;10/12/2025 07:32;2;45
56154;Ibuprofeno TRB Pharma 400mg COMP.;10/12/2025 07:32;3;44
56155;Ibuprofeno TRB Pharma 400mg COMP.;10/12/2025 07:32;3;44
56156;Ibuprofeno TRB Pharma 400mg COMP.;10/12/2025 07:32;3;44
56157;Ibuprofeno TRB Pharma 400mg COMP.;10/12/2025 07:32;3;44
56158;Ibuprofeno TRB Pharma 400mg COMP.;10/12/2025 07:32;3;44
56159;Ibuprofeno TRB Pharma 400mg COMP.;10/12/2025 07:32;3;44
56160;Nervomax TB12 CÁP ;10/12/2025 07:32;1;55
56161;Nervomax TB12 CÁP ;10/12/2025 07:32;1;55
56162;Nervomax TB12 CÁP ;10/12/2025 07:32;1;55
56163;Nervomax TB12 CÁP ;10/12/2025 07:32;1;55
56164;Nervomax TB12 CÁP ;10/12/2025 07:32;1;55
56165;Nervomax TB12 CÁP ;10/12/2025 07:32;1;55
56166;Nervomax TB12 CÁP ;10/12/2025 07:32;1;55
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
